;eV_CaUO4;CaUO4
0,0;3594.0;0.038056324
0,0;3594.2;0.047864717
0,0;3594.3999999999996;0.037625426000000003
0,0;3594.5999999999995;0.054006363999999994
0,0;3594.7999999999993;0.055792538999999995
0,0;3594.999999999999;0.047335465
0,0;3595.199999999999;0.8278212189999999
0,0;3595.3999999999987;0.579694005
0,0;3595.5999999999985;0.8485133269999999
0,0;3595.7999999999984;0.29098288699999997
0,0;3595.999999999998;0.5522471090000001
0,0;3596.199999999998;0.073880193
0,0;3596.399999999998;0.31018959199999996
0,0;3596.5999999999976;0.160668428
0,0;3596.7999999999975;0.039990147999999996
0,0;3596.9999999999973;0.06495763800000001
0,0;3597.199999999997;0.0389735
0,0;3597.399999999997;0.020850187
0,0;3597.5999999999967;0.111484097
0,0;3597.7999999999965;0.015201221000000001
0,0;3610.7999999999847;1.8616e-05
0,0;3611.1999999999844;7.9288e-06
0,0;3611.599999999984;4.62e-06
0,0;3611.799999999984;1.378e-05
0,0;3611.9999999999836;3.58e-06
0,0;3612.1999999999834;1.273e-06
0,0;3613.1999999999825;1.9081999999999998e-05
0,0;3613.599999999982;2.1639e-05
0,0;3613.999999999982;1.102e-05
0,0;3614.3999999999814;2.0079999999999997e-05
0,0;3677.399999999924;0.00182
0,0;3679.3999999999223;0.00011499999999999999
0,0;3680.1999999999216;5.97e-06
0,0;3680.3999999999214;9.79e-08
0,0;3680.5999999999212;1.08e-06
0,0;3680.799999999921;1.42e-05
0,0;3680.999999999921;4.47e-06
0,0;3681.1999999999207;1.47e-05
0,0;3681.3999999999205;4.28e-06
0,0;3681.5999999999203;1.68e-07
0,0;3681.79999999992;4.918e-05
0,0;3681.99999999992;1.0880000000000001e-05
0,0;3682.999999999919;7.54e-05
0,0;3684.199999999918;0.000126
0,0;3684.399999999918;8.5e-06
0,0;3684.5999999999176;8.68e-06
0,0;3684.7999999999174;8.02e-05
0,0;3685.7999999999165;0.00121
0,0;3764.599999999845;2.69
0,0;3764.7999999998447;0.17093573099999998
0,0;3764.9999999998445;0.005935728
0,0;3765.1999999998443;0.271708956
0,0;3765.399999999844;0.18705810199999998
0,0;3765.599999999844;0.025460084
0,0;3765.7999999998437;0.19461674699999998
0,0;3765.9999999998436;0.020023698
0,0;3766.1999999998434;0.022767
0,0;3766.399999999843;0.009669999999999998
0,0;3766.599999999843;0.00621
0,0;3766.799999999843;0.0075970000000000005
0,0;3766.9999999998427;0.0016911
0,0;3767.1999999998425;0.031378413
0,0;3767.3999999998423;0.003277994
0,0;3767.599999999842;0.009513240999999999
0,0;3781.3999999998296;1.5343e-05
0,0;3781.5999999998294;2.4039999999999998e-06
0,0;3781.999999999829;2.3908e-06
0,0;3783.7999999998274;3.362e-06
0,0;3783.999999999827;1.989e-06
0,0;3784.199999999827;4.239900000000001e-06
0,0;3784.399999999827;4.058e-07
0,0;;
